RANK,FULL_NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
48,Boban Marjanovic,Lac,C,29,20,8.3,17.3,27.5,0.132,52,0.788,69,0.551,0,0,0.551,0.637,5.9,4.4,28.7,0.4,7.9,0.3,0.25,0.7,10.5,126.2,93.1
49,Bobby Brown,Hou,PG,33,20,5.7,12,26.1,0.133,2,0.5,18,0.444,40,0.275,0.422,0.425,2.5,0.4,3.4,0.6,15,0.2,0,0.45,5.9,82.8,105.3
50,Bobby Portis,Chi,PF,22,73,22.5,46.9,26,0.105,156,0.769,588,0.514,223,0.359,0.52,0.548,13.2,6.8,16.2,1.7,13.2,0.67,0.32,1.41,9.5,108.2,104.3
51,Bogdan Bogdanovic,Sac,SG,25,78,27.9,58.1,19.6,0.132,119,0.84,443,0.485,329,0.392,0.529,0.556,11.8,2.9,5.8,3.3,18.3,0.92,0.21,1.6,6.9,107.4,107.9
52,Bojan Bogdanovic,Ind,SF,28,80,30.8,64.2,18.9,0.1,205,0.868,466,0.534,386,0.402,0.565,0.605,14.3,3.4,6.1,1.5,7.1,0.69,0.1,1.31,5.4,114.7,108.2
53,Bradley Beal,Was,SG,24,82,36.3,75.6,27.6,0.115,369,0.791,954,0.507,530,0.375,0.527,0.564,22.6,4.4,6.9,4.5,21,1.18,0.44,2.61,8.4,109.4,107.6
54,Brandan Wright,Mem,PF,30,27,13.5,28.2,14.9,0.066,33,0.636,99,0.576,0,0,0.576,0.595,5,3.4,14.7,0.5,5.8,0.48,0.93,0.3,6,124,105.2
55,Brandan Wright,Hou,PF,30,1,15.3,31.9,8.7,0,0,0,3,0.667,0,0,0.667,0.667,4,2,7.4,0,0,0,1,0,0,144.7,92.2
56,Brandon Ingram,Lal,SF,20,59,33.5,69.7,22.2,0.144,282,0.681,656,0.483,105,0.39,0.497,0.536,16.1,5.3,8.5,3.9,17.7,0.76,0.73,2.53,8.3,103.6,103.7
57,Brandon Jennings,Mil,PG,28,14,14.7,30.5,20.8,0.191,10,1,39,0.462,33,0.273,0.438,0.478,5.2,2.2,8.9,3.1,31.1,0.43,0.29,1.29,8.9,98.9,109.1
