RANK,FULL_NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
266,Jaylen Brown,Bos,SF,21,70,30.7,64,21.4,0.12,233,0.644,497,0.507,306,0.395,0.54,0.562,14.5,5,8.8,1.6,8.5,1,0.37,1.77,6.4,105,98.6
267,Jaylen Morris,Atl,G,22,6,16.4,34.2,16.4,0.162,0,0,22,0.5,9,0.222,0.452,0.452,4.7,2.7,9.1,1.2,10.7,0.33,0.17,1,6,85.1,112.6
268,Jayson Tatum,Bos,SF,19,80,30.5,63.6,19.4,0.108,258,0.826,593,0.492,242,0.434,0.538,0.586,13.9,5,9,1.6,8.3,1.04,0.73,1.44,6.3,111.4,99.7
269,Jeff Green,Cle,SF,31,78,23.4,48.8,19.3,0.094,234,0.868,448,0.54,170,0.312,0.52,0.587,10.8,3.2,7.5,1.3,8,0.53,0.44,0.96,6.1,115.7,107.3
270,Jeff Teague,Min,PG,29,70,33,68.8,20.6,0.164,239,0.845,566,0.477,228,0.368,0.499,0.553,14.2,3,5.2,7,30.6,1.46,0.33,2.53,8.1,111.2,107
271,Jeff Withey,Dal,C,27,9,4.4,9.1,21.8,0.106,2,0.5,6,0.667,10,0.2,0.438,0.444,1.7,1.1,14.1,0,0,0,0.33,0.22,0,80.5,103.9
272,Jerami Grant,Okc,SF,23,81,20.3,42.4,16,0.088,240,0.675,346,0.613,110,0.291,0.57,0.607,8.4,3.9,10.7,0.7,5.1,0.38,0.95,0.67,5.6,122.1,101.5
273,Jeremy Evans,Atl,SF,30,1,5.4,11.3,16.2,0.5,0,0,1,1,0,0,1,1,2,1,10.3,0,0,0,0,1,0,97.3,99.7
274,Jeremy Lamb,Cha,SG,25,80,24.6,51.2,22.4,0.091,208,0.861,578,0.495,254,0.37,0.513,0.559,12.9,4.1,8.9,2.3,15.4,0.76,0.4,1.16,8.1,111.9,103.5
275,Jeremy Lin,Bro,PG,29,1,25.2,52.5,31.1,0.166,7,1,10,0.4,2,0.5,0.458,0.597,18,0,0,4,26.8,0,0,3,0,110.7,107
276,Jerian Grant,Chi,PG,25,74,22.8,47.5,17.4,0.132,188,0.745,316,0.468,187,0.326,0.476,0.528,8.4,2.3,5.5,4.6,30.1,0.85,0.11,1.2,7.8,112.6,106.8
277,Jerryd Bayless,Phi,PG,29,39,23.7,49.4,15.1,0.141,44,0.795,116,0.474,146,0.37,0.519,0.546,7.9,2.1,4.7,1.4,8,0.59,0.15,1.18,4.8,102,101.5
278,Jimmy Butler,Min,SF,28,59,36.7,76.4,24.9,0.089,425,0.854,721,0.509,200,0.35,0.512,0.59,22.2,5.3,8.4,4.9,20.6,1.97,0.41,1.83,9.1,122.1,109.7
279,JJ Redick,Phi,SG,33,70,30.2,63,21.7,0.096,218,0.904,419,0.504,460,0.42,0.569,0.614,17.1,2.6,4.6,3,15.1,0.5,0.09,1.47,6.8,118.9,106.1
280,Joakim Noah,Nyk,C,32,7,5.7,11.9,17.2,0.254,4,0.5,10,0.5,0,0,0.5,0.51,1.7,2,19.4,0.6,13.9,0.29,0.29,0.57,8.9,99.9,97.6
281,Jodie Meeks,Was,SG,30,77,14.5,30.3,19,0.077,117,0.863,183,0.464,210,0.343,0.491,0.548,6.3,1.6,6.4,0.9,9.1,0.38,0.05,0.48,5.8,110.7,108.7
282,Joe Harris,Bro,SG,26,78,25.3,52.7,16.6,0.12,104,0.827,263,0.589,358,0.419,0.612,0.634,10.8,3.3,7,1.6,10.2,0.44,0.26,1.17,6.1,116.4,107.5
283,Joe Ingles,Uta,SF,30,82,31.4,65.5,15.9,0.174,83,0.795,254,0.516,464,0.44,0.609,0.623,11.5,4.2,7.6,4.8,22.9,1.1,0.24,1.94,7.8,115.8,100.4
284,Joe Johnson,Uta,SF,36,32,21.9,45.6,17.2,0.116,24,0.833,142,0.507,84,0.274,0.471,0.492,7.3,3.3,8.7,1.4,9.8,0.38,0.19,0.97,5.9,96.6,103.9
285,Joe Johnson,Hou,SF,36,23,21.9,45.7,14.1,0.112,21,0.952,73,0.466,61,0.279,0.444,0.485,6,2.8,7.3,1.7,10.7,0.26,0.04,0.78,5.6,99.8,103.5
286,Joe Young,Ind,PG,25,53,10.5,21.9,18,0.116,29,0.759,120,0.458,66,0.379,0.497,0.521,3.9,1.2,6.4,0.7,9.9,0.26,0.02,0.49,5.7,102.3,106.2
287,Joel Bolomboy,Mil,PF,24,6,6.3,13.1,12.7,0.188,6,0.5,5,0.6,1,0,0.5,0.521,1.5,1.7,15.5,0,0,0.33,0,0.33,0,110.7,105.4
288,Joel Embiid,Phi,C,23,63,30.3,63.2,33.4,0.156,467,0.769,842,0.527,214,0.308,0.514,0.573,22.9,10.9,19.4,3.2,18,0.63,1.78,3.71,12.2,106.2,94.1
289,Joffrey Lauvergne,San,C,26,55,9.7,20.2,20.4,0.135,47,0.638,185,0.53,5,0,0.516,0.536,4.1,3.1,17.8,0.7,12.2,0.16,0.05,0.6,8.5,109.1,98.3
290,John Collins,Atl,PF,20,74,24.1,50.2,17.9,0.143,186,0.715,498,0.598,47,0.34,0.591,0.62,10.5,7.3,16.9,1.3,8.9,0.64,1.08,1.42,7.7,117.7,99.2
291,John Henson,Mil,C,27,76,25.9,54,15,0.128,158,0.57,495,0.578,7,0.143,0.573,0.582,8.8,6.8,15.3,1.5,8.6,0.59,1.43,1.11,6.9,115.7,102.2
292,John Holland,Cle,SG,29,24,7.3,15.1,18.4,0.11,13,0.692,23,0.261,36,0.306,0.381,0.417,2.3,1,7.4,0.2,3.9,0.29,0.08,0.33,4.2,84.6,108.9
293,John Wall,Was,PG,27,41,34.4,71.6,29.1,0.17,241,0.726,500,0.436,167,0.371,0.466,0.515,19.4,3.7,6,9.6,44.5,1.39,1.1,3.85,10.3,104.8,107.1
294,Johnathan Motley,Dal,PF,22,11,16,33.3,24.9,0.093,28,0.536,69,0.565,6,0.167,0.54,0.55,8.7,4.5,15.5,0.6,7.1,0.27,0.18,0.82,7.2,106.5,100.7
295,Johnny O'Bryant III,Cha,PF,24,36,10.5,21.9,22.5,0.076,25,0.84,128,0.422,43,0.326,0.439,0.47,4.8,2.6,13.4,0.4,5.9,0.22,0.17,0.42,6.5,99,98.4
296,Jon Leuer,Det,PF,28,8,17.1,35.5,16.1,0.141,15,0.867,33,0.455,3,0,0.417,0.505,5.4,4,12.9,0.6,5.2,0.13,0.38,0.88,5.5,100.2,97.9
297,Jonas Jerebko,Uta,PF,30,74,15.3,31.9,15.6,0.069,57,0.807,184,0.511,157,0.414,0.562,0.586,5.8,3.3,12.3,0.6,5.7,0.32,0.16,0.36,5.9,118.3,95.3
298,Jonas Valanciunas,Tor,C,25,77,22.4,46.7,22.7,0.127,211,0.806,614,0.586,74,0.405,0.589,0.628,12.7,8.6,21.4,1.1,7.5,0.38,0.9,1.48,8.8,120,95.1
299,Jonathan Gibson,Bos,PG,30,4,10,20.8,29.1,0.115,0,0,11,0.727,12,0.5,0.739,0.739,8.5,0.8,4.1,1,22.7,0,0,0.75,7.6,122,97.7
300,Jonathan Isaac,Orl,SF,20,27,19.8,41.3,15,0.148,25,0.76,99,0.394,46,0.348,0.434,0.465,5.4,3.7,10.2,0.7,4.8,1.22,1.11,1,4.9,87.7,102
301,Jonathon Simmons,Orl,SG,28,69,29.4,61.3,22,0.144,241,0.768,557,0.512,204,0.338,0.511,0.555,13.9,3.5,6.5,2.5,13.3,0.84,0.23,2.12,6.7,103.3,106.4
302,Jordan Bell,Gol,PF,23,57,14.2,29.6,13.9,0.2,44,0.682,181,0.641,4,0,0.627,0.641,4.6,3.6,14.3,1.8,16.9,0.61,0.98,0.89,8.7,121.8,98.2
303,Jordan Clarkson,Lal,SG,25,53,23.7,49.4,27.7,0.116,132,0.795,457,0.505,210,0.324,0.499,0.532,14.5,3,6.7,3.3,23,0.74,0.06,1.79,8.8,105.5,107.7
304,Jordan Clarkson,Cle,SG,25,28,22.6,47,24.1,0.09,58,0.81,179,0.486,108,0.407,0.533,0.565,12.6,2,5.1,1.7,12,0.68,0.11,1.11,6.2,109.2,108.9
305,Jordan Crawford,Nor,SG,29,5,10.7,22.2,26.3,0.154,1,1,13,0.308,14,0.571,0.593,0.601,6.6,0.8,4.1,2.6,37.4,0.2,0.2,1,9,115.9,102.1
306,Jordan Mickey,Mia,PF,23,23,12.4,25.7,17.1,0.166,19,0.684,66,0.561,16,0.125,0.488,0.515,4,3.6,16.2,0.4,4.8,0.26,0.43,0.78,5.8,96.2,94.5
307,Jose Calderon,Cle,PG,36,57,16,33.4,11.6,0.171,30,0.8,88,0.545,97,0.464,0.624,0.643,4.5,1.5,5.2,2.1,17.4,0.47,0.04,0.72,6.1,122.4,106.8
308,Josh Gray,Pho,F,24,5,17.3,36,25.9,0.132,11,0.636,28,0.286,13,0.231,0.305,0.349,6.4,2,6.2,2.4,20.6,1.6,0.4,1.4,7.2,76.6,104
309,Josh Hart,Lal,SG,22,63,23.2,48.3,13.5,0.101,94,0.702,178,0.551,197,0.396,0.573,0.596,7.9,4.2,9.6,1.3,7.6,0.73,0.25,0.75,6,116.2,103.6
310,Josh Huestis,Okc,SF,26,69,14.2,29.6,9.5,0.12,20,0.3,67,0.403,115,0.287,0.42,0.417,2.3,2.3,9.1,0.3,2.7,0.22,0.62,0.38,3.3,90.3,103.5
311,Josh Jackson,Pho,SF,20,77,25.4,53,26,0.122,279,0.634,715,0.464,217,0.263,0.448,0.48,13.1,4.6,9.6,1.5,10.1,1.04,0.45,1.9,7.1,93.5,104.1
312,Josh Magette,Atl,PG,28,18,12,25,11.8,0.154,8,1,24,0.292,22,0.364,0.413,0.464,2.6,1.1,4.9,3.2,36.4,0.44,0.06,0.5,7,116.2,107.5
313,Josh McRoberts,Dal,PF,30,2,2.9,6,7.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
314,Josh Richardson,Mia,SG,24,81,33.2,69.2,18.1,0.129,142,0.845,549,0.495,336,0.378,0.523,0.551,12.9,3.5,6,2.8,13.1,1.49,0.91,1.73,6,106.6,103.1
315,Josh Smith,Nor,PF,32,3,3.9,8.2,14.7,0,0,0,4,0.25,0,0,0.25,0.25,0.7,1.3,18.4,0,0,0,0,0,0,,
316,JR Smith,Cle,SG,32,80,28.1,58.4,13.8,0.116,56,0.696,214,0.453,381,0.375,0.524,0.534,8.3,2.9,5.9,1.8,8.6,0.85,0.14,1.01,5,103.1,108.1
317,Jrue Holiday,Nor,PG,27,81,36.1,75.3,23.1,0.137,238,0.786,887,0.558,356,0.337,0.543,0.57,19,4.5,6.8,6,24.9,1.52,0.79,2.64,8.9,110.1,105.5
318,Juancho Hernangomez,Den,PF,22,25,11.1,23.1,14,0.101,12,0.833,25,0.6,50,0.28,0.48,0.511,3.3,2.2,11,0.5,5.9,0.24,0.12,0.36,5.5,108.7,105.2
319,Julius Randle,Lal,PF,23,82,26.7,55.7,25.3,0.163,425,0.718,859,0.575,45,0.222,0.563,0.606,16.1,8,15.9,2.6,15.8,0.52,0.55,2.6,10.4,112,97.1
320,Julyan Stone,Cha,PG,29,23,7.6,15.8,5.2,0.335,2,0.5,0,0,13,0.462,0.692,0.684,0.8,1.3,9,1.1,19.2,0.17,0.09,0.3,5.5,123.1,98.4
321,Justin Anderson,Phi,SF,24,38,13.7,28.4,19.3,0.068,38,0.737,99,0.535,103,0.33,0.515,0.54,6.2,2.4,9.5,0.7,7.1,0.39,0.21,0.42,6.4,110.3,98.9
322,Justin Holiday,Chi,SG,28,72,31.5,65.5,18.2,0.098,164,0.823,333,0.387,449,0.359,0.474,0.513,12.2,4,6.9,2.1,10.1,1.11,0.43,1.29,5.9,100.8,108.3
323,Justin Jackson,Sac,SF,22,68,22.2,46.1,14.2,0.084,36,0.722,234,0.547,185,0.308,0.51,0.521,6.7,2.8,7.1,1.1,7.2,0.41,0.19,0.59,4.9,103.8,111.4
324,Justin Patton,Min,C,20,1,3.7,7.7,23.9,0,0,0,2,0.5,0,0,0.5,0.5,2,0,0,0,0,1,0,0,0,,
325,Justise Winslow,Mia,SF,21,68,24.7,51.5,16.3,0.126,104,0.635,359,0.44,129,0.38,0.474,0.496,7.8,5.4,12.4,2.2,13,0.79,0.49,1.13,7.3,101.6,100
326,Jusuf Nurkic,Por,C,23,79,26.4,55.1,26.4,0.146,273,0.63,944,0.508,7,0,0.505,0.528,14.3,9,18.5,1.8,11.7,0.81,1.39,2.32,9.3,102.3,93.9
327,Kadeem Allen,Bos,SG,25,18,6,12.4,14.6,0.257,9,0.778,11,0.545,11,0,0.273,0.366,1.1,0.6,5.6,0.7,15.2,0.17,0.11,0.5,5.2,78.2,94.5
328,Karl-Anthony Towns,Min,C,22,82,35.6,74.1,22.9,0.105,402,0.858,887,0.585,285,0.421,0.596,0.646,21.3,12.4,20,2.4,10.8,0.78,1.41,1.94,9.7,126.8,100.5
329,Kawhi Leonard,San,SF,26,9,23.3,48.6,30.6,0.111,38,0.816,76,0.539,35,0.314,0.518,0.572,16.2,4.7,11.1,2.3,17.7,2,1,1.78,9.6,109.7,99.2
330,Kay Felder,Chi,PG,22,14,9.6,19.9,28.1,0.174,12,0.917,48,0.333,18,0.222,0.333,0.386,3.9,1,5.6,1.4,23,0.21,0.07,1.07,7.3,76.8,107.1
331,Kay Felder,Det,PG,22,2,2.9,5.9,38.8,0.2,0,0,3,0.333,1,0,0.25,0.25,1,2,38.8,0,0,0,0,0.5,0,,
332,Kelly Olynyk,Mia,C,26,76,23.4,48.8,21.7,0.171,174,0.77,356,0.59,280,0.379,0.58,0.612,11.5,5.7,13.6,2.7,18.6,0.82,0.46,1.93,9.6,112.3,94.8
333,Kelly Oubre Jr.,Was,SF,22,81,27.5,57.4,19.4,0.092,233,0.82,421,0.456,369,0.341,0.482,0.534,11.8,4.5,9.2,1.2,6.4,0.99,0.43,1.11,5.8,105.7,100.7
334,Kemba Walker,Cha,PG,27,80,34.2,71.2,27.4,0.104,420,0.864,762,0.469,601,0.384,0.516,0.572,22.1,3.1,4.9,5.6,27.4,1.14,0.3,2.24,8.5,114.7,108.2
335,Kendrick Perkins,Cle,C,33,1,14.5,30.2,11.8,0.258,2,0.5,2,0.5,0,0,0.5,0.521,3,1,3.9,2,17.9,1,0,1,5,97.2,106.7
336,Kenneth Faried,Den,PF,28,32,14.4,30,18.3,0.119,51,0.706,147,0.517,1,0,0.514,0.552,5.9,4.8,18.7,0.6,5.8,0.38,0.41,0.72,7.1,115.8,101.2
337,Kent Bazemore,Atl,SF,28,65,27.5,57.3,22.5,0.17,201,0.796,402,0.438,274,0.394,0.5,0.547,12.9,3.8,7.7,3.5,20.1,1.54,0.69,2.42,8.1,101.1,104
338,Kentavious Caldwell-Pope,Lal,SG,24,74,33.2,69.2,16.9,0.1,194,0.789,383,0.473,414,0.384,0.526,0.562,13.4,5.2,8.4,2.2,9.5,1.45,0.22,1.32,6.4,111,104.8
339,Kevin Durant,Gol,SF,29,68,34.2,71.2,30.4,0.129,404,0.889,809,0.565,413,0.419,0.586,0.64,26.4,6.8,11.2,5.4,25.5,0.74,1.75,3.04,11.6,118.6,105.5
340,Kevin Love,Cle,PF,29,59,28,58.3,25.1,0.096,265,0.879,399,0.494,330,0.415,0.552,0.614,17.6,9.3,18.5,1.7,9.8,0.73,0.41,1.53,9.3,120,103.5
341,Kevon Looney,Gol,PF,21,66,13.8,28.7,12.4,0.121,77,0.545,187,0.594,5,0.2,0.586,0.591,4,3.3,13.2,0.6,6,0.5,0.83,0.47,5.8,121.7,99.4
342,Khem Birch,Orl,C,25,42,13.8,28.7,13.2,0.121,61,0.689,126,0.54,0,0,0.54,0.582,4.2,4.3,17.1,0.8,8.5,0.36,0.5,0.5,7.1,124.2,102.3
343,Khris Middleton,Mil,PF,26,82,36.4,75.8,24.6,0.118,362,0.884,865,0.517,407,0.359,0.524,0.577,20.1,5.2,8.4,4,17.7,1.45,0.26,2.33,8.2,110.9,104.2
344,Klay Thompson,Gol,SG,27,73,34.3,71.5,23.7,0.095,98,0.837,658,0.526,520,0.44,0.585,0.598,20,3.8,6.2,2.5,11.2,0.75,0.48,1.75,6.7,109.8,109.4
345,Kobi Simmons,Mem,PG,20,32,20.1,41.9,17,0.18,25,1,150,0.46,39,0.282,0.452,0.49,6.1,1.6,4.5,2.1,16.5,0.56,0.16,1.38,5.4,94.4,107.5
346,Kosta Koufos,Sac,C,28,71,19.6,40.8,15.2,0.104,74,0.446,389,0.571,0,0,0.571,0.566,6.7,6.6,19.3,1.2,9.7,0.66,0.45,0.69,7.7,117.7,100.5
347,Kris Dunn,Chi,PG,23,52,29.3,61.1,24.7,0.173,115,0.73,532,0.457,134,0.321,0.462,0.488,13.4,4.3,7.8,6,33.3,2,0.52,2.88,9.6,95.9,99.4
348,Kristaps Porzingis,Nyk,PF,22,48,32.4,67.4,31,0.084,275,0.793,661,0.454,228,0.395,0.489,0.539,22.7,6.6,11.3,1.2,6.2,0.75,2.4,1.94,7,105.2,104.3
349,Kyle Anderson,San,SG,24,74,26.7,55.7,13.5,0.158,146,0.712,381,0.556,57,0.333,0.549,0.582,7.9,5.4,11.1,2.7,14.7,1.55,0.82,1.27,7.3,114.4,99.8
350,Kyle Collinsworth,Dal,PG,26,32,15,31.2,13.3,0.171,40,0.525,82,0.415,17,0.235,0.404,0.433,3.2,3.3,12.4,1.8,16.4,0.53,0.28,0.75,7.1,99.2,101.8
351,Kyle Korver,Cle,SG,36,73,21.6,44.9,16,0.096,72,0.889,108,0.537,376,0.436,0.628,0.652,9.2,2.3,5.9,1.2,8,0.42,0.37,0.75,5.4,120.2,107.4
352,Kyle Kuzma,Lal,PF,22,77,31.2,65,22.5,0.11,208,0.707,605,0.511,434,0.366,0.527,0.549,16.1,6.3,10.7,1.8,9.1,0.64,0.44,1.82,7.3,105,104.6
353,Kyle Lowry,Tor,PG,31,78,32.2,67,21.7,0.147,261,0.854,348,0.474,596,0.399,0.553,0.598,16.2,5.6,9.7,6.9,30.9,1.09,0.24,2.35,10.6,120.4,101.6
354,Kyle O'Quinn,Nyk,PF,27,77,18,37.5,17,0.186,127,0.772,366,0.601,17,0.235,0.59,0.627,7.1,6.1,18.8,2.1,16.8,0.45,1.27,1.3,10,117.9,95.9
355,Kyle Singler,Okc,SF,29,12,4.9,10.2,21.7,0.101,13,0.538,16,0.313,5,0.4,0.381,0.43,1.9,0.8,9.4,0.2,4.8,0.08,0,0.25,5.5,88.1,104.3
356,Kyrie Irving,Bos,PG,25,60,32.2,67.1,31,0.104,261,0.889,680,0.541,407,0.408,0.568,0.61,24.4,3.8,6.4,5.1,30.7,1.08,0.28,2.33,9.7,118.2,101.7
357,LaMarcus Aldridge,San,PF,32,75,33.4,69.7,29.1,0.068,399,0.837,1255,0.526,92,0.293,0.52,0.57,23.1,8.5,14,2,11.3,0.57,1.2,1.48,8.8,117.6,101.7
358,Lance Stephenson,Ind,SG,27,82,22.6,47,21.6,0.147,127,0.661,477,0.495,232,0.289,0.475,0.495,9.2,5.2,12.9,2.9,18.6,0.59,0.2,1.61,9.2,99,100.2
359,Lance Thomas,Nyk,PF,29,73,18.5,38.6,10.7,0.121,53,0.83,143,0.364,124,0.403,0.476,0.513,4.1,2.4,7.2,0.6,4.2,0.41,0.19,0.55,3.9,103.1,105.6
360,Langston Galloway,Det,PG,26,58,14.9,31,19.3,0.048,41,0.805,122,0.418,218,0.344,0.481,0.503,6.2,1.6,5.9,1,10.1,0.6,0.09,0.31,5.8,105.9,106.4
361,Larry Drew II,Phi,PG,27,3,4.9,10.1,23.4,0.125,0,0,4,0.25,3,0,0.143,0.143,0.7,0.3,3.7,0.7,17.6,0,0,0.33,4.3,51,100.8
362,Larry Drew II,Nor,PG,27,7,7.9,16.5,14.8,0.105,0,0,11,0.273,6,0.5,0.441,0.441,2.1,0.3,2,1.1,18.7,0,0,0.29,4.5,101.2,110.6
363,Larry Nance Jr.,Lal,PF,25,42,21.9,45.7,15.3,0.123,87,0.632,249,0.606,4,0.25,0.603,0.618,8.6,6.8,16.4,1.4,9.2,1.4,0.48,0.98,7.9,123.7,95.3
364,Larry Nance Jr.,Cle,PF,25,24,20.8,43.3,17,0.052,50,0.72,152,0.572,8,0.125,0.553,0.585,8.9,7,18.9,1,7.6,1.21,0.75,0.42,7.6,128,97.7
365,Lauri Markkanen,Chi,PF,20,68,29.7,61.9,21.9,0.082,166,0.843,461,0.497,401,0.362,0.518,0.552,15.2,7.5,13.5,1.2,6.4,0.57,0.59,1.22,6.9,107,108
366,LeBron James,Cle,SF,33,82,36.9,76.9,31.6,0.161,531,0.731,1174,0.603,406,0.367,0.59,0.621,27.5,8.7,13.2,9.1,44.4,1.41,0.87,4.23,14,118.5,107.5
367,London Perrantes,Cle,PG,23,14,4.7,9.8,10.9,0.062,5,0.6,10,0.2,3,0,0.154,0.23,0.5,0.3,3.4,0.4,9.4,0.14,0.07,0.07,3.3,68.1,107.2
368,Lonzo Ball,Lal,PG,20,52,34.2,71.3,17.4,0.186,71,0.451,269,0.42,295,0.305,0.44,0.444,10.2,6.9,10.8,7.2,29.2,1.67,0.83,2.62,9.3,97.4,103
369,Lorenzo Brown,Tor,G,27,14,9.9,20.6,12,0.079,2,1,22,0.545,12,0.167,0.441,0.459,2.3,1.1,6.1,0.9,12.5,0.36,0,0.21,5.3,102.5,105.7
370,Lou Williams,Lac,SG,31,79,32.8,68.3,29.8,0.131,491,0.88,819,0.484,518,0.359,0.505,0.574,22.6,2.5,4.2,5.3,26.3,1.08,0.24,2.96,8.2,112.1,111.3
371,Luc Mbah a Moute,Hou,PF,31,61,25.6,53.4,12.8,0.15,95,0.684,172,0.599,173,0.364,0.572,0.595,7.5,3,6.7,0.9,5,1.18,0.41,1.11,4.3,106.9,102.3
372,Lucas Nogueira,Tor,C,25,49,8.5,17.8,11.4,0.148,28,0.679,61,0.721,19,0.263,0.644,0.661,2.5,1.8,11.7,0.4,7.2,0.47,0.88,0.33,5.7,123.5,95
373,Luis Montero,Det,SG,24,2,4,8.3,16.6,0.667,0,0,1,0,0,0,0,0,0,1,13.8,0,0,0,0,1,0,0,109.8
374,Luke Babbitt,Atl,SF,28,37,15.4,32.1,14.8,0.078,22,0.773,57,0.544,111,0.441,0.622,0.636,6.1,2.2,7.9,0.7,7,0.19,0.14,0.41,5.5,119.1,106.4
375,Luke Babbitt,Mia,SF,28,13,11.1,23.2,15.8,0.078,0,0,2,0,45,0.244,0.351,0.351,2.5,1.2,5.8,0.4,4.8,0.08,0.15,0.31,3.8,74.7,108.4
376,Luke Kennard,Det,SG,21,73,20,41.7,17.2,0.122,76,0.855,270,0.463,195,0.415,0.53,0.56,7.6,2.4,6.6,1.7,12.7,0.6,0.18,0.95,6.3,108,105.1
377,Luke Kornet,Nyk,PF,22,20,16.3,34,19,0.085,11,0.727,46,0.457,79,0.354,0.504,0.516,6.7,3.2,10.9,1.3,11.5,0.25,0.8,0.6,7.4,106.3,105.4
378,Luol Deng,Lal,SF,32,1,13.1,27.3,9.7,0.333,0,0,2,0.5,0,0,0.5,0.5,2,0,0,1,10,1,0,1,0,77.1,112.8
379,Malachi Richardson,Sac,SG,22,25,12.7,26.6,15.2,0.093,22,0.773,49,0.347,39,0.308,0.398,0.445,3.5,1.3,5.9,0.5,5.7,0.4,0.04,0.4,4.1,91.5,107.4
380,Malachi Richardson,Tor,SG,22,1,4.7,9.8,18.6,0,0,0,1,1,1,0,0.5,0.5,2,1,11.9,0,0,0,0,0,0,99.9,110.3
381,Malcolm Brogdon,Mil,SG,25,48,29.9,62.3,19.1,0.109,85,0.882,342,0.532,161,0.385,0.547,0.578,13,3.3,6.4,3.2,16.3,0.85,0.27,1.38,6.9,112.6,106.2
382,Malcolm Delaney,Atl,PG,28,54,18.8,39.1,16.9,0.169,92,0.804,161,0.391,124,0.371,0.463,0.519,6.3,1.9,5.5,3,23.4,0.65,0.11,1.22,7,104.2,106.5
383,Malcolm Miller,Tor,SF,24,15,8.4,17.5,12.1,0.144,4,1,7,0.714,21,0.381,0.607,0.638,2.5,1.1,7.1,0.2,3.2,0.07,0.13,0.33,3.9,114.9,104.4
384,Malik Beasley,Den,SG,21,62,9.4,19.6,16.2,0.111,33,0.667,96,0.469,82,0.341,0.489,0.509,3.2,1.1,6.9,0.5,7.4,0.24,0.11,0.39,5.1,101.1,108.9
385,Malik Monk,Cha,SG,19,63,13.6,28.2,24.9,0.098,38,0.842,182,0.385,243,0.342,0.458,0.477,6.7,1,4.2,1.4,16.9,0.32,0.14,0.76,6.2,95.9,105.6
386,Mangok Mathiang,Cha,PF,25,4,5,10.3,16.3,0,1,0,7,0.571,0,0,0.571,0.538,2,2.5,27.3,0,0,0.25,0,0,0,122.1,78.8
387,Manu Ginobili,San,SG,40,65,20,41.6,21.5,0.168,131,0.84,271,0.506,192,0.333,0.503,0.553,8.9,2.2,6.1,2.5,19.1,0.66,0.25,1.62,7.3,103.6,98.8
388,Marc Gasol,Mem,C,33,73,33,68.7,25.7,0.142,337,0.834,713,0.456,320,0.341,0.473,0.532,17.2,8.1,14.2,4.2,21.7,0.74,1.4,2.67,10.1,104.2,105
389,Marcin Gortat,Was,C,33,82,25.3,52.7,15.5,0.135,163,0.675,560,0.518,0,0,0.518,0.546,8.4,7.6,17,1.8,10.6,0.49,0.74,1.21,7.7,112.1,101.8
390,Marco Belinelli,Atl,SG,31,52,23.3,48.5,21.2,0.092,109,0.927,238,0.45,247,0.372,0.505,0.554,11.4,1.9,4.6,2,13.5,0.88,0.06,1.04,6,109,112.1
391,Marco Belinelli,Phi,SG,31,28,26.3,54.9,19.8,0.117,54,0.87,131,0.618,148,0.385,0.597,0.628,13.6,1.9,3.8,1.6,9.3,0.68,0.32,1.43,5.3,113.8,105
392,Marcus Georges-Hunt,Min,SG,23,42,5.3,11.1,12.1,0.049,21,0.619,34,0.5,15,0.267,0.469,0.507,1.4,0.4,4.1,0.2,4.1,0.14,0,0.07,3.6,110.3,101.7
393,Marcus Morris,Bos,SF,28,54,26.7,55.6,23,0.087,154,0.805,377,0.467,234,0.368,0.499,0.541,13.6,5.4,11,1.3,8.2,0.65,0.22,1.2,6.8,106,99.6
394,Marcus Paige,Cha,PG,24,5,5.6,11.7,23,0,2,1,6,0.333,8,0.25,0.357,0.403,2.4,0.8,7.7,0.6,16.1,0,0,0,7.5,95.9,112.6
395,Marcus Smart,Bos,PG,23,54,29.9,62.3,19.4,0.184,133,0.729,266,0.429,249,0.301,0.44,0.479,10.2,3.5,6.4,4.8,23.7,1.31,0.43,2.39,7.4,97.3,99.2
396,Mario Chalmers,Mem,PG,31,66,21.5,44.9,19.6,0.188,138,0.855,252,0.456,191,0.277,0.439,0.503,7.7,2.4,6.4,3,21.4,1.2,0.21,1.77,7.1,96.6,100.6
397,Mario Hezonja,Orl,SF,22,75,22.1,46,19.9,0.115,105,0.819,350,0.523,267,0.337,0.515,0.544,9.6,3.7,9.3,1.4,10,1.08,0.4,1.15,6.7,102.8,104.1
398,Markel Brown,Hou,SG,26,4,7.9,16.4,12.6,0.222,0,0,2,0.5,5,0.2,0.357,0.357,1.3,1.3,8.9,0.5,8.6,0,0,0.5,4.8,74.7,91.5
399,Markelle Fultz,Phi,PG,19,14,18.1,37.6,23.2,0.124,21,0.476,110,0.409,1,0,0.405,0.416,7.1,3.1,9.4,3.8,31.3,0.79,0.29,1.21,9.7,96,99.9
400,Markieff Morris,Was,PF,28,73,27,56.2,19.5,0.146,128,0.82,480,0.529,207,0.367,0.536,0.566,11.5,5.6,11.8,1.9,11,0.78,0.51,1.74,7.4,105.2,99.6
