Date,Team,Acquired,Relinquished,Notes
3/28/18,Magic,, Wesley Iwundu / Wes Iwundu,illness (DTD)
3/28/18,Mavericks,, Salah Mejri,bruised right knee (DTD)
3/28/18,Mavericks, Dwight Powell,,returned to lineup
3/28/18,Mavericks, Nerlens Noel,,returned to lineup
3/28/18,Nets,, Isaiah Whitehead,sprained right wrist (out for season)
3/28/18,Suns,, Alex Len,sprained left ankle (DTD)
3/28/18,Suns,, Elfrid Payton,left knee injury (out for season)
3/29/18,76ers,, Joel Embiid,fractured left orbital bone (out indefinitely)
3/29/18,Bulls,, Cristiano Felicio,sore lower back (DTD)
3/29/18,Bulls,, Lauri Markkanen,rest (DTD)
3/29/18,Warriors, Draymond Green,,returned to lineup
3/30/18,76ers, Amir Johnson,,returned to lineup
3/30/18,Bucks,, John Henson,right index finger injury (DTD)
3/30/18,Bulls, Lauri Markkanen,,returned to lineup
3/30/18,Cavaliers, Kevin Love,,returned to lineup
3/30/18,Clippers,, Jawun Evans,abdominal injury / sports hernia / athletic pubalgia (out for season)
3/30/18,Grizzlies,, Chandler Parsons,rest (DTD)
3/30/18,Jazz,, Ricky Rubio,hamstring injury (DTD)
3/30/18,Jazz,, Ricky Rubio,sore left hamstring (DTD)
3/30/18,Lakers,, Lonzo Ball,bruised left knee (out for season)
3/30/18,Magic, Jonathan Isaac,,returned to lineup
3/30/18,Pelicans, Rajon Rondo,,returned to lineup
3/30/18,Rockets,, Chris Paul,sore left hip / rest (DTD)
3/30/18,Rockets,, Eric Gordon,sore left / right knee (DTD)
3/30/18,Rockets, Clint Capela,,returned to lineup
3/30/18,Suns,, Jared Dudley,sore left ankle (DTD)
3/30/18,Warriors,, Andre Iguodala,sore left knee (DTD)
3/31/18,76ers,, Joel Embiid,surgery to repair fractured left orbital bone (out indefinitely)
3/31/18,Celtics, Al Horford,,returned to lineup
3/31/18,Celtics, Marcus Morris,,returned to lineup
3/31/18,Hornets,, Jeremy Lamb,sore left foot (DTD)
3/31/18,Knicks,, Frank Ntilikina,illness (DTD)
3/31/18,Warriors, Chris Boucher,,returned to lineup
4/1/18,76ers, Justin Anderson,,returned to lineup
4/1/18,Grizzlies,, JaMychal Green,sore left knee (out for season)
4/1/18,Grizzlies,, MarShon Brooks,left ankle injury (DTD)
4/1/18,Hornets,, Dwayne Bacon,sprained right ankle (out for season)
4/1/18,Hornets, Jeremy Lamb,,returned to lineup
4/1/18,Jazz, Ricky Rubio,,returned to lineup
4/1/18,Magic, Wesley Iwundu / Wes Iwundu,,returned to lineup
4/1/18,Pistons,, James Ennis,bruised right hand (DTD)
4/1/18,Rockets,, Chris Paul,sore left leg (DTD)
4/1/18,Rockets, Eric Gordon,,returned to lineup
4/1/18,Timberwolves,, Jeff Teague,knee injury (DTD)
4/1/18,Wizards,, John Wall (a),rest (DTD)
4/1/18,Cavaliers,, Kyle Korver,sore right foot (DTD)
4/2/18,Knicks,, Troy Williams,fractured jaw (out for season)
4/3/18,Bulls,, Denzel Valentine,surgery on left knee (out for season)
4/3/18,Cavaliers, Kyle Korver,,returned to lineup
4/3/18,Clippers,, Danilo Gallinari,sore right hand (out for season)
4/3/18,Grizzlies,, Wayne Selden Jr.,sore right knee (out for season)
4/3/18,Hawks,, Dewayne Dedmon,sore ribs (DTD)
4/3/18,Kings,, Skal Labissiere,sprained left ankle (out for season)
4/3/18,Knicks, Courtney Lee,,returned to lineup
4/3/18,Knicks, Frank Ntilikina,,returned to lineup
4/3/18,Magic,, Jonathan Isaac,sprained left ankle (out for season)
4/3/18,Mavericks, Salah Mejri,,returned to lineup
4/3/18,Nets,, Isaiah Whitehead,surgery on right wrist (out for season)
4/3/18,Rockets,, Trevor Ariza,rest (DTD)
4/3/18,Rockets, Chris Paul,,returned to lineup
4/3/18,Suns, Alex Len,,returned to lineup
4/4/18,Grizzlies, MarShon Brooks,,returned to lineup
4/4/18,Hawks, Dewayne Dedmon,,returned to lineup
4/4/18,Nets,, DeMarre Carroll,strained left hip (out for season)
4/4/18,Pistons, James Ennis,,returned to lineup
4/4/18,Rockets,, Ryan Anderson,sprained left ankle (DTD)
4/4/18,Grizzlies, Chandler Parsons,,returned to lineup
4/5/18,Cavaliers, Tyronn Lue,,returned as head coach
4/5/18,Celtics,, Kyrie Irving,surgery on left knee to remove 2 screws (out for season) (date approximate)
4/5/18,Grizzlies,, Jarell Martin,left ankle injury (out for season)
4/5/18,Mavericks,, Dirk Nowitzki,surgery on left ankle to remove loose debris (out for season)
4/5/18,Nets,, Dante Cunningham,back injury (DTD)
4/5/18,Rockets, Trevor Ariza,,returned to lineup
4/5/18,Suns,, Alan Williams,sore right knee (out for season)
4/5/18,Timberwolves, Jeff Teague,,returned to lineup
4/6/18,Magic,, Aaron Gordon,sore right calf (DTD)
4/6/18,Magic,, Nikola Vucevic,tightness in lower back (DTD)
4/6/18,Mavericks,, Salah Mejri,rest / knee injury (out for season)
4/6/18,Pelicans,, Ian Clark,sprained right ankle (DTD)
4/6/18,Suns,, Troy Daniels,sprained right ankle (DTD)
4/6/18,Suns, Jared Dudley,,returned to lineup
4/6/18,Wizards,, Ian Mahinmi,concussion (DTD)
4/7/18,Bucks,, Shabazz Muhammad,sprained right ankle (DTD)
4/7/18,Knicks,, Tim Hardaway Jr.,sprained left ankle (out for season)
4/7/18,Nets, Dante Cunningham,,returned to lineup
4/7/18,Rockets,, Tarik Black,sore lower back (DTD)
4/8/18,Magic, Aaron Gordon,,returned to lineup
4/8/18,Magic, Nikola Vucevic,,returned to lineup
4/8/18,Suns,, Josh Jackson,bruised right quadriceps (out for season)
4/8/18,Suns, Troy Daniels,,returned to lineup
4/9/18,Bucks, Shabazz Muhammad,,returned to lineup
4/9/18,Clippers,, Austin Rivers,sore right elbow (out for season)
4/9/18,Clippers,,Lou Williams,sprained right ankle (out for season)
4/9/18,Grizzlies,, Marc Gasol,rest (DTD)
4/9/18,Hawks,, Malcolm Delaney,arthroscopic surgery on left ankle (out for season)
4/9/18,Kings,, Frank Mason,partially torn plantar fascia in left foot (out for season)
4/9/18,Nets,, Joe Harris,sprained left ankle (out for season)
4/9/18,Pelicans, Ian Clark,,returned to lineup
